"Year","Field","Value","Unit"
"1999","motor gasoline consumed by the transportation sector Tennessee","359725","billion btu"
"2000","motor gasoline consumed by the transportation sector Tennessee","354976","billion btu"
"2001","motor gasoline consumed by the transportation sector Tennessee","350468","billion btu"
"2002","motor gasoline consumed by the transportation sector Tennessee","369174","billion btu"
"2003","motor gasoline consumed by the transportation sector Tennessee","371685","billion btu"
"2004","motor gasoline consumed by the transportation sector Tennessee","372544","billion btu"
"2005","motor gasoline consumed by the transportation sector Tennessee","379562","billion btu"
"2006","motor gasoline consumed by the transportation sector Tennessee","381024","billion btu"
"2007","motor gasoline consumed by the transportation sector Tennessee","381305","billion btu"
"2008","motor gasoline consumed by the transportation sector Tennessee","368171","billion btu"
"2009","motor gasoline consumed by the transportation sector Tennessee","378975","billion btu"
"2016","motor gasoline consumed by the transportation sector Tennessee","399868","billion btu"
"2010","motor gasoline consumed by the transportation sector Tennessee","383541","billion btu"
"2010","motor gasoline consumed by the transportation sector United States","16320164","billion btu"
"2016","motor gasoline consumed by the transportation sector United States","16601127","billion btu"
"2015","motor gasoline consumed by the transportation sector United States","16307655","billion btu"
"2015","motor gasoline consumed by the transportation sector Tennessee","384136","billion btu"
"2011","motor gasoline consumed by the transportation sector Tennessee","377555","billion btu"
"2012","motor gasoline consumed by the transportation sector United States","15794521","billion btu"
"2012","motor gasoline consumed by the transportation sector Tennessee","373023","billion btu"
"2011","motor gasoline consumed by the transportation sector United States","15876719","billion btu"
"2020","motor gasoline consumed by the transportation sector United States","14242892","billion btu"
"2020","motor gasoline consumed by the transportation sector Tennessee","362283","billion btu"
"2019","motor gasoline consumed by the transportation sector United States","16530634","billion btu"
"2019","motor gasoline consumed by the transportation sector Tennessee","398216","billion btu"
"2013","natural gas consumed by the transportation sector United States","888140","billion btu"
"2013","natural gas consumed by the transportation sector Tennessee","6874","billion btu"
"2014","natural gas consumed by the transportation sector United States","762235","billion btu"
"2014","natural gas consumed by the transportation sector Tennessee","7644","billion btu"
"2018","natural gas consumed by the transportation sector United States","962477","billion btu"
"2018","natural gas consumed by the transportation sector Tennessee","8795","billion btu"
"2017","natural gas consumed by the transportation sector United States","800958","billion btu"
"2017","natural gas consumed by the transportation sector Tennessee","5796","billion btu"
"1968","natural gas consumed by the transportation sector Tennessee","23282","billion btu"
"1969","natural gas consumed by the transportation sector Tennessee","25936","billion btu"
"1970","natural gas consumed by the transportation sector Tennessee","27041","billion btu"
"1971","natural gas consumed by the transportation sector Tennessee","27235","billion btu"
"1972","natural gas consumed by the transportation sector Tennessee","25906","billion btu"
"1973","natural gas consumed by the transportation sector Tennessee","29042","billion btu"
"1960","natural gas consumed by the transportation sector Tennessee","5528","billion btu"
"1961","natural gas consumed by the transportation sector Tennessee","15951","billion btu"
"1962","natural gas consumed by the transportation sector Tennessee","16655","billion btu"
"1963","natural gas consumed by the transportation sector Tennessee","19341","billion btu"
"1964","natural gas consumed by the transportation sector Tennessee","19889","billion btu"
"1965","natural gas consumed by the transportation sector Tennessee","23737","billion btu"
"1966","natural gas consumed by the transportation sector Tennessee","22952","billion btu"
"1967","natural gas consumed by the transportation sector Tennessee","23203","billion btu"
"1974","natural gas consumed by the transportation sector Tennessee","24464","billion btu"
"1975","natural gas consumed by the transportation sector Tennessee","19746","billion btu"
"1976","natural gas consumed by the transportation sector Tennessee","15532","billion btu"
"1977","natural gas consumed by the transportation sector Tennessee","14278","billion btu"
"1978","natural gas consumed by the transportation sector Tennessee","14819","billion btu"
"1979","natural gas consumed by the transportation sector Tennessee","20844","billion btu"
"1980","natural gas consumed by the transportation sector Tennessee","16756","billion btu"
"1981","natural gas consumed by the transportation sector Tennessee","17831","billion btu"
"1982","natural gas consumed by the transportation sector Tennessee","16961","billion btu"
"1983","natural gas consumed by the transportation sector Tennessee","11139","billion btu"
"1984","natural gas consumed by the transportation sector Tennessee","13016","billion btu"
"1985","natural gas consumed by the transportation sector Tennessee","10532","billion btu"
"1986","natural gas consumed by the transportation sector Tennessee","14003","billion btu"
"1987","natural gas consumed by the transportation sector Tennessee","15767","billion btu"
"1988","natural gas consumed by the transportation sector Tennessee","17619","billion btu"
"1989","natural gas consumed by the transportation sector Tennessee","18380","billion btu"
"1990","natural gas consumed by the transportation sector Tennessee","20284","billion btu"
"1991","natural gas consumed by the transportation sector Tennessee","16278","billion btu"
"1992","natural gas consumed by the transportation sector Tennessee","16950","billion btu"
"1993","natural gas consumed by the transportation sector Tennessee","19377","billion btu"
"1994","natural gas consumed by the transportation sector Tennessee","18758","billion btu"
"1995","natural gas consumed by the transportation sector Tennessee","18348","billion btu"
"1996","natural gas consumed by the transportation sector Tennessee","25131","billion btu"
"1997","natural gas consumed by the transportation sector Tennessee","24000","billion btu"
"1998","natural gas consumed by the transportation sector Tennessee","16988","billion btu"
"1999","natural gas consumed by the transportation sector Tennessee","15683","billion btu"
"2000","natural gas consumed by the transportation sector Tennessee","14391","billion btu"
"2001","natural gas consumed by the transportation sector Tennessee","14345","billion btu"
"2002","natural gas consumed by the transportation sector Tennessee","11929","billion btu"
"2003","natural gas consumed by the transportation sector Tennessee","13306","billion btu"
"2004","natural gas consumed by the transportation sector Tennessee","10943","billion btu"
"2005","natural gas consumed by the transportation sector Tennessee","9528","billion btu"
"2006","natural gas consumed by the transportation sector Tennessee","9047","billion btu"
"2007","natural gas consumed by the transportation sector Tennessee","10387","billion btu"
"2008","natural gas consumed by the transportation sector Tennessee","10633","billion btu"
"2009","natural gas consumed by the transportation sector Tennessee","12064","billion btu"
"1960","natural gas consumed by the transportation sector United States","359223","billion btu"
"1961","natural gas consumed by the transportation sector United States","390823","billion btu"
"1962","natural gas consumed by the transportation sector United States","395883","billion btu"
"1963","natural gas consumed by the transportation sector United States","437996","billion btu"
"1964","natural gas consumed by the transportation sector United States","451204","billion btu"
"1965","natural gas consumed by the transportation sector United States","517864","billion btu"
"1966","natural gas consumed by the transportation sector United States","553293","billion btu"
"1967","natural gas consumed by the transportation sector United States","593396","billion btu"
"1968","natural gas consumed by the transportation sector United States","608008","billion btu"
"1969","natural gas consumed by the transportation sector United States","648592","billion btu"
"1970","natural gas consumed by the transportation sector United States","740413","billion btu"
"1971","natural gas consumed by the transportation sector United States","761467","billion btu"
"1972","natural gas consumed by the transportation sector United States","785598","billion btu"
"1973","natural gas consumed by the transportation sector United States","745253","billion btu"
"1974","natural gas consumed by the transportation sector United States","683746","billion btu"
"1975","natural gas consumed by the transportation sector United States","594622","billion btu"
"1976","natural gas consumed by the transportation sector United States","559039","billion btu"
"1977","natural gas consumed by the transportation sector United States","543994","billion btu"
"1978","natural gas consumed by the transportation sector United States","541177","billion btu"
"1979","natural gas consumed by the transportation sector United States","612733","billion btu"
"1980","natural gas consumed by the transportation sector United States","649919","billion btu"
"1981","natural gas consumed by the transportation sector United States","659629","billion btu"
"1982","natural gas consumed by the transportation sector United States","613917","billion btu"
"1983","natural gas consumed by the transportation sector United States","505197","billion btu"
"1984","natural gas consumed by the transportation sector United States","544748","billion btu"
"1985","natural gas consumed by the transportation sector United States","520729","billion btu"
"1986","natural gas consumed by the transportation sector United States","501058","billion btu"
"1987","natural gas consumed by the transportation sector United States","537996","billion btu"
"1988","natural gas consumed by the transportation sector United States","633494","billion btu"
"1989","natural gas consumed by the transportation sector United States","649648","billion btu"
"1990","natural gas consumed by the transportation sector United States","682744","billion btu"
"1991","natural gas consumed by the transportation sector United States","621810","billion btu"
"1992","natural gas consumed by the transportation sector United States","610580","billion btu"
"1993","natural gas consumed by the transportation sector United States","646010","billion btu"
"1994","natural gas consumed by the transportation sector United States","709703","billion btu"
"1995","natural gas consumed by the transportation sector United States","727798","billion btu"
"1996","natural gas consumed by the transportation sector United States","740468","billion btu"
"1997","natural gas consumed by the transportation sector United States","789878","billion btu"
"1998","natural gas consumed by the transportation sector United States","666552","billion btu"
"1999","natural gas consumed by the transportation sector United States","675002","billion btu"
"2000","natural gas consumed by the transportation sector United States","673616","billion btu"
"2001","natural gas consumed by the transportation sector United States","655507","billion btu"
"2002","natural gas consumed by the transportation sector United States","698694","billion btu"
"2003","natural gas consumed by the transportation sector United States","627336","billion btu"
"2004","natural gas consumed by the transportation sector United States","602590","billion btu"
"2005","natural gas consumed by the transportation sector United States","624976","billion btu"
"2006","natural gas consumed by the transportation sector United States","626779","billion btu"
"2007","natural gas consumed by the transportation sector United States","665156","billion btu"
"2009","natural gas consumed by the transportation sector United States","716864","billion btu"
"2015","natural gas consumed by the transportation sector Tennessee","8486","billion btu"
"2010","natural gas consumed by the transportation sector Tennessee","10330","billion btu"
"2008","natural gas consumed by the transportation sector United States","693744","billion btu"
"2010","natural gas consumed by the transportation sector United States","720931","billion btu"
"2016","natural gas consumed by the transportation sector United States","758188","billion btu"
"2016","natural gas consumed by the transportation sector Tennessee","7151","billion btu"
"2015","natural gas consumed by the transportation sector United States","747400","billion btu"
"2011","natural gas consumed by the transportation sector Tennessee","11847","billion btu"
"2011","natural gas consumed by the transportation sector United States","736007","billion btu"
"2012","natural gas consumed by the transportation sector Tennessee","10047","billion btu"
"2012","natural gas consumed by the transportation sector United States","781761","billion btu"
"2019","natural gas consumed by the transportation sector Tennessee","15684","billion btu"
"2019","natural gas consumed by the transportation sector United States","1112937","billion btu"
"2020","natural gas consumed by the transportation sector United States","1095757","billion btu"
"2020","natural gas consumed by the transportation sector Tennessee","18092","billion btu"
"2013","all petroleum products consumed by the transportation sector United States","25648645","billion btu"
"2013","all petroleum products consumed by the transportation sector Tennessee","591464","billion btu"
"2014","all petroleum products consumed by the transportation sector Tennessee","605021","billion btu"
"2014","all petroleum products consumed by the transportation sector United States","26033132","billion btu"
"1960","all petroleum products consumed by the transportation sector United States","10125440","billion btu"
"1961","all petroleum products consumed by the transportation sector United States","10324003","billion btu"
"1962","all petroleum products consumed by the transportation sector United States","10772163","billion btu"
"1963","all petroleum products consumed by the transportation sector United States","11166719","billion btu"
"1964","all petroleum products consumed by the transportation sector United States","11496358","billion btu"
"1965","all petroleum products consumed by the transportation sector United States","11866228","billion btu"
"1966","all petroleum products consumed by the transportation sector United States","12499798","billion btu"
"1967","all petroleum products consumed by the transportation sector United States","13112844","billion btu"
"1968","all petroleum products consumed by the transportation sector United States","14211979","billion btu"
"1969","all petroleum products consumed by the transportation sector United States","14813364","billion btu"
"1970","all petroleum products consumed by the transportation sector United States","15310548","billion btu"
"1971","all petroleum products consumed by the transportation sector United States","15924088","billion btu"
"1972","all petroleum products consumed by the transportation sector United States","16891686","billion btu"
"1973","all petroleum products consumed by the transportation sector United States","17831928","billion btu"
"1974","all petroleum products consumed by the transportation sector United States","17400597","billion btu"
"1975","all petroleum products consumed by the transportation sector United States","17615388","billion btu"
"1976","all petroleum products consumed by the transportation sector United States","18507725","billion btu"
"1977","all petroleum products consumed by the transportation sector United States","19243289","billion btu"
"1978","all petroleum products consumed by the transportation sector United States","20043894","billion btu"
"1979","all petroleum products consumed by the transportation sector United States","19825499","billion btu"
"1980","all petroleum products consumed by the transportation sector United States","19009268","billion btu"
"1981","all petroleum products consumed by the transportation sector United States","18812711","billion btu"
"1982","all petroleum products consumed by the transportation sector United States","18422005","billion btu"
"1983","all petroleum products consumed by the transportation sector United States","18595201","billion btu"
"1984","all petroleum products consumed by the transportation sector United States","19022762","billion btu"
"1985","all petroleum products consumed by the transportation sector United States","19472382","billion btu"
"1986","all petroleum products consumed by the transportation sector United States","20183419","billion btu"
"1987","all petroleum products consumed by the transportation sector United States","20817470","billion btu"
"1988","all petroleum products consumed by the transportation sector United States","21567799","billion btu"
"1989","all petroleum products consumed by the transportation sector United States","21707232","billion btu"
"1990","all petroleum products consumed by the transportation sector United States","21625929","billion btu"
"1991","all petroleum products consumed by the transportation sector United States","21374435","billion btu"
"1992","all petroleum products consumed by the transportation sector United States","21674933","billion btu"
"1993","all petroleum products consumed by the transportation sector United States","21976153","billion btu"
"1994","all petroleum products consumed by the transportation sector United States","22557900","billion btu"
"1995","all petroleum products consumed by the transportation sector United States","23035787","billion btu"
"1996","all petroleum products consumed by the transportation sector United States","23629894","billion btu"
"1997","all petroleum products consumed by the transportation sector United States","23890635","billion btu"
"1998","all petroleum products consumed by the transportation sector United States","24506465","billion btu"
"1999","all petroleum products consumed by the transportation sector United States","25186695","billion btu"
"2000","all petroleum products consumed by the transportation sector United States","25787349","billion btu"
"2001","all petroleum products consumed by the transportation sector United States","25523872","billion btu"
"2002","all petroleum products consumed by the transportation sector United States","26050877","billion btu"
"2004","all petroleum products consumed by the transportation sector United States","27150174","billion btu"
"2005","all petroleum products consumed by the transportation sector United States","27552992","billion btu"
"2006","all petroleum products consumed by the transportation sector United States","27971694","billion btu"
"2007","all petroleum products consumed by the transportation sector United States","28034208","billion btu"
"1960","all petroleum products consumed by the transportation sector Tennessee","167554","billion btu"
"1961","all petroleum products consumed by the transportation sector Tennessee","173459","billion btu"
"1962","all petroleum products consumed by the transportation sector Tennessee","185008","billion btu"
"1963","all petroleum products consumed by the transportation sector Tennessee","196333","billion btu"
"1964","all petroleum products consumed by the transportation sector Tennessee","201766","billion btu"
"1965","all petroleum products consumed by the transportation sector Tennessee","206891","billion btu"
"1966","all petroleum products consumed by the transportation sector Tennessee","225790","billion btu"
"1967","all petroleum products consumed by the transportation sector Tennessee","234440","billion btu"
"1968","all petroleum products consumed by the transportation sector Tennessee","254040","billion btu"
"1969","all petroleum products consumed by the transportation sector Tennessee","270012","billion btu"
"1970","all petroleum products consumed by the transportation sector Tennessee","281249","billion btu"
"1971","all petroleum products consumed by the transportation sector Tennessee","298123","billion btu"
"1972","all petroleum products consumed by the transportation sector Tennessee","329698","billion btu"
"1973","all petroleum products consumed by the transportation sector Tennessee","359163","billion btu"
"1974","all petroleum products consumed by the transportation sector Tennessee","356452","billion btu"
"1975","all petroleum products consumed by the transportation sector Tennessee","370500","billion btu"
"1976","all petroleum products consumed by the transportation sector Tennessee","390561","billion btu"
"1977","all petroleum products consumed by the transportation sector Tennessee","404132","billion btu"
"1978","all petroleum products consumed by the transportation sector Tennessee","428453","billion btu"
"1979","all petroleum products consumed by the transportation sector Tennessee","429461","billion btu"
"1980","all petroleum products consumed by the transportation sector Tennessee","392139","billion btu"
"1981","all petroleum products consumed by the transportation sector Tennessee","390902","billion btu"
"1982","all petroleum products consumed by the transportation sector Tennessee","381347","billion btu"
"1983","all petroleum products consumed by the transportation sector Tennessee","383963","billion btu"
"1984","all petroleum products consumed by the transportation sector Tennessee","411492","billion btu"
"1985","all petroleum products consumed by the transportation sector Tennessee","421325","billion btu"
"1986","all petroleum products consumed by the transportation sector Tennessee","448731","billion btu"
"1987","all petroleum products consumed by the transportation sector Tennessee","438102","billion btu"
"1988","all petroleum products consumed by the transportation sector Tennessee","443809","billion btu"
"1989","all petroleum products consumed by the transportation sector Tennessee","455675","billion btu"
"1990","all petroleum products consumed by the transportation sector Tennessee","444050","billion btu"
"1991","all petroleum products consumed by the transportation sector Tennessee","422951","billion btu"
"1992","all petroleum products consumed by the transportation sector Tennessee","441629","billion btu"
"1993","all petroleum products consumed by the transportation sector Tennessee","465833","billion btu"
"1994","all petroleum products consumed by the transportation sector Tennessee","480659","billion btu"
"1995","all petroleum products consumed by the transportation sector Tennessee","505478","billion btu"
"1996","all petroleum products consumed by the transportation sector Tennessee","516445","billion btu"
"1997","all petroleum products consumed by the transportation sector Tennessee","522080","billion btu"
"1998","all petroleum products consumed by the transportation sector Tennessee","539270","billion btu"
"1999","all petroleum products consumed by the transportation sector Tennessee","558300","billion btu"
"2000","all petroleum products consumed by the transportation sector Tennessee","568606","billion btu"
"2001","all petroleum products consumed by the transportation sector Tennessee","565516","billion btu"
"2002","all petroleum products consumed by the transportation sector Tennessee","601316","billion btu"
"2004","all petroleum products consumed by the transportation sector Tennessee","619215","billion btu"
"2005","all petroleum products consumed by the transportation sector Tennessee","635336","billion btu"
"2006","all petroleum products consumed by the transportation sector Tennessee","638817","billion btu"
"2007","all petroleum products consumed by the transportation sector Tennessee","640192","billion btu"
"2015","all petroleum products consumed by the transportation sector United States","26421880","billion btu"
"2015","all petroleum products consumed by the transportation sector Tennessee","612239","billion btu"
"2003","all petroleum products consumed by the transportation sector Tennessee","616337","billion btu"
"2008","all petroleum products consumed by the transportation sector Tennessee","600129","billion btu"
"2003","all petroleum products consumed by the transportation sector United States","26184018","billion btu"
"2008","all petroleum products consumed by the transportation sector United States","26630325","billion btu"
"2017","all petroleum products consumed by the transportation sector United States","27147135","billion btu"
"2017","all petroleum products consumed by the transportation sector Tennessee","633511","billion btu"
"2011","all petroleum products consumed by the transportation sector United States","25782479","billion btu"
"2009","all petroleum products consumed by the transportation sector Tennessee","583819","billion btu"
"2010","all petroleum products consumed by the transportation sector Tennessee","606115","billion btu"
"2011","all petroleum products consumed by the transportation sector Tennessee","601882","billion btu"
"2012","all petroleum products consumed by the transportation sector United States","25269675","billion btu"
"2010","all petroleum products consumed by the transportation sector United States","26187341","billion btu"
"2009","all petroleum products consumed by the transportation sector United States","25818015","billion btu"
"2012","all petroleum products consumed by the transportation sector Tennessee","583839","billion btu"
"2019","all petroleum products consumed by the transportation sector United States","27403426","billion btu"
"2019","all petroleum products consumed by the transportation sector Tennessee","651150","billion btu"
"2018","all petroleum products consumed by the transportation sector United States","27433250","billion btu"
"2018","all petroleum products consumed by the transportation sector Tennessee","638335","billion btu"
"2020","all petroleum products consumed by the transportation sector Tennessee","596609","billion btu"
"2020","all petroleum products consumed by the transportation sector United States","23191444","billion btu"
"2016","all petroleum products consumed by the transportation sector Tennessee","626375","billion btu"
"2016","all petroleum products consumed by the transportation sector United States","26960009","billion btu"
"2016","propane consumed by the transportation sector United States","8833","billion btu"
"2014","propane consumed by the transportation sector Tennessee","81","billion btu"
"2018","propane consumed by the transportation sector Tennessee","39","billion btu"
"2018","propane consumed by the transportation sector United States","8929","billion btu"
"2017","propane consumed by the transportation sector Tennessee","96","billion btu"
"2017","propane consumed by the transportation sector United States","9142","billion btu"
"2019","propane consumed by the transportation sector United States","8693","billion btu"
"2019","propane consumed by the transportation sector Tennessee","45","billion btu"
"2014","propane consumed by the transportation sector United States","5982","billion btu"
"2020","propane consumed by the transportation sector Tennessee","39","billion btu"
"2020","propane consumed by the transportation sector United States","4568","billion btu"
"2016","propane consumed by the transportation sector Tennessee","135","billion btu"
"2015","propane consumed by the transportation sector Tennessee","112","billion btu"
"2010","propane consumed by the transportation sector United States","4484","billion btu"
"2013","propane consumed by the transportation sector United States","5195","billion btu"
"2012","propane consumed by the transportation sector United States","4369","billion btu"
"2011","propane consumed by the transportation sector Tennessee","96","billion btu"
"2010","propane consumed by the transportation sector Tennessee","86","billion btu"
"2013","propane consumed by the transportation sector Tennessee","105","billion btu"
"2011","propane consumed by the transportation sector United States","4511","billion btu"
"2012","propane consumed by the transportation sector Tennessee","92","billion btu"
"2015","propane consumed by the transportation sector United States","7669","billion btu"
"2013","residual fuel oil consumed by the transportation sector Tennessee","323","billion btu"
"2018","residual fuel oil consumed by the transportation sector United States","604031","billion btu"
"2013","residual fuel oil consumed by the transportation sector United States","581153","billion btu"
"2018","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2014","residual fuel oil consumed by the transportation sector Tennessee","30","billion btu"
"2014","residual fuel oil consumed by the transportation sector United States","446537","billion btu"
"2009","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1962","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1972","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1983","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1984","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1985","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1986","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1998","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"1999","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2000","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2016","residual fuel oil consumed by the transportation sector United States","623124","billion btu"
"2016","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2017","residual fuel oil consumed by the transportation sector United States","664585","billion btu"
"2017","residual fuel oil consumed by the transportation sector Tennessee","92","billion btu"
"2010","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2015","residual fuel oil consumed by the transportation sector Tennessee","74","billion btu"
"2008","residual fuel oil consumed by the transportation sector Tennessee","281","billion btu"
"2008","residual fuel oil consumed by the transportation sector United States","925922","billion btu"
"2009","residual fuel oil consumed by the transportation sector United States","790516","billion btu"
"2010","residual fuel oil consumed by the transportation sector United States","891980","billion btu"
"2015","residual fuel oil consumed by the transportation sector United States","463400","billion btu"
"1994","residual fuel oil consumed by the transportation sector Tennessee","16","billion btu"
"1995","residual fuel oil consumed by the transportation sector Tennessee","12","billion btu"
"1996","residual fuel oil consumed by the transportation sector Tennessee","13","billion btu"
"1997","residual fuel oil consumed by the transportation sector Tennessee","25","billion btu"
"2001","residual fuel oil consumed by the transportation sector Tennessee","27","billion btu"
"2002","residual fuel oil consumed by the transportation sector Tennessee","18","billion btu"
"2003","residual fuel oil consumed by the transportation sector Tennessee","52","billion btu"
"2004","residual fuel oil consumed by the transportation sector Tennessee","265","billion btu"
"2005","residual fuel oil consumed by the transportation sector Tennessee","368","billion btu"
"2006","residual fuel oil consumed by the transportation sector Tennessee","77","billion btu"
"2007","residual fuel oil consumed by the transportation sector Tennessee","30","billion btu"
"1960","residual fuel oil consumed by the transportation sector Tennessee","51","billion btu"
"1961","residual fuel oil consumed by the transportation sector Tennessee","339","billion btu"
"1963","residual fuel oil consumed by the transportation sector Tennessee","361","billion btu"
"1964","residual fuel oil consumed by the transportation sector Tennessee","213","billion btu"
"1965","residual fuel oil consumed by the transportation sector Tennessee","137","billion btu"
"1966","residual fuel oil consumed by the transportation sector Tennessee","65","billion btu"
"1967","residual fuel oil consumed by the transportation sector Tennessee","729","billion btu"
"1968","residual fuel oil consumed by the transportation sector Tennessee","57","billion btu"
"1969","residual fuel oil consumed by the transportation sector Tennessee","39","billion btu"
"1970","residual fuel oil consumed by the transportation sector Tennessee","19","billion btu"
"1971","residual fuel oil consumed by the transportation sector Tennessee","6","billion btu"
"1973","residual fuel oil consumed by the transportation sector Tennessee","824","billion btu"
"1974","residual fuel oil consumed by the transportation sector Tennessee","408","billion btu"
"1975","residual fuel oil consumed by the transportation sector Tennessee","1198","billion btu"
"1976","residual fuel oil consumed by the transportation sector Tennessee","1636","billion btu"
"1977","residual fuel oil consumed by the transportation sector Tennessee","735","billion btu"
"1978","residual fuel oil consumed by the transportation sector Tennessee","363","billion btu"
"1979","residual fuel oil consumed by the transportation sector Tennessee","982","billion btu"
"1980","residual fuel oil consumed by the transportation sector Tennessee","38","billion btu"
"1981","residual fuel oil consumed by the transportation sector Tennessee","479","billion btu"
"1982","residual fuel oil consumed by the transportation sector Tennessee","133","billion btu"
"1987","residual fuel oil consumed by the transportation sector Tennessee","3","billion btu"
"1988","residual fuel oil consumed by the transportation sector Tennessee","80","billion btu"
"1989","residual fuel oil consumed by the transportation sector Tennessee","70","billion btu"
"1990","residual fuel oil consumed by the transportation sector Tennessee","31","billion btu"
"1991","residual fuel oil consumed by the transportation sector Tennessee","315","billion btu"
"1992","residual fuel oil consumed by the transportation sector Tennessee","275","billion btu"
"1993","residual fuel oil consumed by the transportation sector Tennessee","96","billion btu"
"1987","residual fuel oil consumed by the transportation sector United States","900496","billion btu"
"1988","residual fuel oil consumed by the transportation sector United States","919092","billion btu"
"1989","residual fuel oil consumed by the transportation sector United States","971126","billion btu"
"1990","residual fuel oil consumed by the transportation sector United States","1016003","billion btu"
"1991","residual fuel oil consumed by the transportation sector United States","1025918","billion btu"
"1992","residual fuel oil consumed by the transportation sector United States","1069971","billion btu"
"1993","residual fuel oil consumed by the transportation sector United States","901454","billion btu"
"1994","residual fuel oil consumed by the transportation sector United States","882585","billion btu"
"1995","residual fuel oil consumed by the transportation sector United States","910515","billion btu"
"1996","residual fuel oil consumed by the transportation sector United States","851305","billion btu"
"1997","residual fuel oil consumed by the transportation sector United States","711713","billion btu"
"1998","residual fuel oil consumed by the transportation sector United States","673713","billion btu"
"1999","residual fuel oil consumed by the transportation sector United States","665450","billion btu"
"2000","residual fuel oil consumed by the transportation sector United States","887541","billion btu"
"2001","residual fuel oil consumed by the transportation sector United States","585537","billion btu"
"2002","residual fuel oil consumed by the transportation sector United States","676811","billion btu"
"2003","residual fuel oil consumed by the transportation sector United States","570929","billion btu"
"2004","residual fuel oil consumed by the transportation sector United States","739508","billion btu"
"2005","residual fuel oil consumed by the transportation sector United States","837442","billion btu"
"2006","residual fuel oil consumed by the transportation sector United States","905678","billion btu"
"2007","residual fuel oil consumed by the transportation sector United States","993643","billion btu"
"1960","residual fuel oil consumed by the transportation sector United States","843881","billion btu"
"1961","residual fuel oil consumed by the transportation sector United States","828607","billion btu"
"1962","residual fuel oil consumed by the transportation sector United States","789981","billion btu"
"1963","residual fuel oil consumed by the transportation sector United States","748563","billion btu"
"1964","residual fuel oil consumed by the transportation sector United States","777039","billion btu"
"1965","residual fuel oil consumed by the transportation sector United States","770271","billion btu"
"1966","residual fuel oil consumed by the transportation sector United States","779254","billion btu"
"1967","residual fuel oil consumed by the transportation sector United States","824109","billion btu"
"1968","residual fuel oil consumed by the transportation sector United States","805640","billion btu"
"1969","residual fuel oil consumed by the transportation sector United States","762929","billion btu"
"1970","residual fuel oil consumed by the transportation sector United States","760925","billion btu"
"1971","residual fuel oil consumed by the transportation sector United States","700765","billion btu"
"1972","residual fuel oil consumed by the transportation sector United States","645329","billion btu"
"1973","residual fuel oil consumed by the transportation sector United States","727316","billion btu"
"1974","residual fuel oil consumed by the transportation sector United States","696711","billion btu"
"1975","residual fuel oil consumed by the transportation sector United States","711075","billion btu"
"1976","residual fuel oil consumed by the transportation sector United States","823795","billion btu"
"1977","residual fuel oil consumed by the transportation sector United States","908481","billion btu"
"1978","residual fuel oil consumed by the transportation sector United States","989762","billion btu"
"1979","residual fuel oil consumed by the transportation sector United States","1228154","billion btu"
"1980","residual fuel oil consumed by the transportation sector United States","1398477","billion btu"
"1981","residual fuel oil consumed by the transportation sector United States","1218952","billion btu"
"1982","residual fuel oil consumed by the transportation sector United States","1019836","billion btu"
"1983","residual fuel oil consumed by the transportation sector United States","821015","billion btu"
"1984","residual fuel oil consumed by the transportation sector United States","806875","billion btu"
"1985","residual fuel oil consumed by the transportation sector United States","785534","billion btu"
"1986","residual fuel oil consumed by the transportation sector United States","869775","billion btu"
"2012","residual fuel oil consumed by the transportation sector Tennessee","326","billion btu"
"2012","residual fuel oil consumed by the transportation sector United States","670521","billion btu"
"2011","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2011","residual fuel oil consumed by the transportation sector United States","776321","billion btu"
"2019","residual fuel oil consumed by the transportation sector United States","529103","billion btu"
"2019","residual fuel oil consumed by the transportation sector Tennessee","83","billion btu"
"2020","residual fuel oil consumed by the transportation sector United States","391461","billion btu"
"2020","residual fuel oil consumed by the transportation sector Tennessee","0","billion btu"
"2013","total energy consumed by the transportation sector Tennessee","598357","billion btu"
"2013","total energy consumed by the transportation sector United States","26613512","billion btu"
"2014","total energy consumed by the transportation sector Tennessee","612677","billion btu"
"2014","total energy consumed by the transportation sector United States","26873295","billion btu"
"1960","total energy consumed by the transportation sector Tennessee","174077","billion btu"
"1961","total energy consumed by the transportation sector Tennessee","189698","billion btu"
"1962","total energy consumed by the transportation sector Tennessee","201900","billion btu"
"1963","total energy consumed by the transportation sector Tennessee","215915","billion btu"
"1964","total energy consumed by the transportation sector Tennessee","221891","billion btu"
"1965","total energy consumed by the transportation sector Tennessee","230861","billion btu"
